#OTU ID	taxonomy	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo57562	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	2	0	2	0	2	1	0	1	2	0	0	0	2	2	2	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	2	1	1	0	1	0	3
denovo57607	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	0	4	0	4	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	2	1	5	0	0	0	10	0	2	0	2	1	0	0	0	2	5	0	0	3
denovo57631	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	2	3	1	2	5	5	0	0	4	0	0	1	4	1	0	0	0	5	1	4	4	6	0	11	5	4	2	2	1	0	3	2	1	9	0	0	0	2	0	0	0	5
denovo57658	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	0	0	0	5	2	2	0	1	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2
denovo57718	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	1	0	0	2	2	0	0	3	0	0	0	0	1	1	0	0	1	0	1	0	0	0
denovo57736	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	4	0	1	2	0	0	3	0	0	2	0	0	0	1	0	1	0	2	0	0	0	1	2	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1
denovo57759	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis	7	4	0	0	4	2	4	1	4	1	1	4	4	0	5	0	2	3	1	1	0	3	2	9	0	7	6	2	1	5	1	2	5	0	12	3	1	1	3	1	6	5
denovo57779	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	2	3	1	3	2	2	0	0	2	0	1	13	2	0	5	0	0	0	2	2	1	3	3	6	2	0	5	0	4	0	5	2	2	6	2	5	2	1	11	0	2	3
denovo57783	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0	4	0	0	0	2	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0
denovo57788	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	2	2	2	14	0	10	11	9	0	6	23	2	1	3	0	2	0	0	0	1	0	0	0	1	2	2	0	3	0	3	1	1	7	0	0	1	5	1	0	14	1	0
denovo57828	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__	11	0	0	4	0	16	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	0	0	0	1	1	0	0	0	0	2	0	1	1	0	0	0	1	2
denovo57837	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	4	0	3	0	0	0	1	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	3	1	1	0	0	0	3	0	0
denovo57853	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	10	2	1	1	0	1	2	2	8	0	7	0	3	3	3	2	0	7	8	2	3	1	1	1	3	9	5	0	0	4	1	0	2	0	0	3	1	1	0	0	0	2
denovo57854	Unassigned	3	0	2	0	2	3	0	0	2	1	1	0	0	0	0	0	1	1	1	0	0	1	4	0	1	1	2	1	0	1	0	1	0	2	0	0	2	0	1	0	1	0
denovo57857	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	0	1	2	0	1	1	0	0	1	0	1	0	0	2	0	0	1	0	0	0	1	2	1	2	0	4	0	0	0	0	0	1	1	0	3	0	0	0	0	2	0
